club_name,team_rating,pace,shooting,passing,dribbling,defending,physical
12 de Octubre,64.23529411764706,63.76470588235294,49.88235294117647,53.88235294117647,59.294117647058826,50.11764705882353,59.1764705882353
1860 München,63.379464285714285,69.36607142857143,49.901785714285715,54.339285714285715,59.732142857142854,47.558035714285715,64.47767857142857
9 de Octubre,64.3125,69.5,51.5625,56.5,59.1875,56.8125,64.0625
AC Arles Avignon,61.43478260869565,69.47826086956522,50.17391304347826,53.17391304347826,59.43478260869565,42.34782608695652,58.73913043478261
AC Barnechea,60.84,67.24,48.52,52.76,57.24,48.12,59.0
ADO Den Haag,65.56603773584905,67.14465408805032,52.075471698113205,56.867924528301884,62.918238993710695,49.59119496855346,63.22012578616352
AEK Athens,70.69714285714285,71.80571428571429,57.15428571428571,62.56,66.98285714285714,56.245714285714286,68.25714285714285
AFC Bournemouth,69.68363636363637,70.18909090909091,55.512727272727275,61.45454545454545,66.96363636363637,54.77454545454545,66.64727272727272
AFC Eskilstuna,59.354166666666664,64.79166666666667,44.104166666666664,50.291666666666664,56.229166666666664,46.666666666666664,63.166666666666664
AFC Wimbledon,59.471311475409834,67.38934426229508,45.23360655737705,49.75409836065574,55.6844262295082,47.200819672131146,63.91393442622951
AGF,63.51923076923077,68.99038461538461,49.27403846153846,54.52884615384615,60.90384615384615,50.24519230769231,66.39903846153847
AIK,64.91743119266054,68.1788990825688,52.06880733944954,57.38990825688074,62.06422018348624,50.05045871559633,65.61009174311927
APOEL,66.21333333333334,68.73333333333333,52.24,56.76,63.53333333333333,46.78666666666667,60.373333333333335
AS Béziers,61.17391304347826,70.69565217391305,47.95652173913044,51.17391304347826,57.52173913043478,45.30434782608695,61.69565217391305
AS Eupen,65.61904761904762,67.43915343915344,50.58730158730159,57.074074074074076,62.75661375661376,50.03703703703704,62.18518518518518
ATK Mohun Bagan,59.34848484848485,67.95454545454545,47.15151515151515,50.93939393939394,57.121212121212125,46.36363636363637,65.60606060606061
AZ Alkmaar,69.11814345991561,69.81856540084388,56.459915611814345,61.64556962025316,67.15611814345992,53.438818565400844,65.62025316455696
AaB,62.66504854368932,68.25242718446601,49.84466019417476,54.237864077669904,60.06310679611651,47.77669902912621,64.17961165048544
Aalesund,61.42767295597484,66.49685534591195,50.270440251572325,52.9622641509434,58.685534591194966,50.484276729559745,64.54716981132076
Aberdeen,63.641975308641975,69.05761316872427,48.84362139917695,54.50205761316872,60.83127572016461,48.22633744855967,63.75308641975309
